{'max_epoch': 10, 'train_batch_size': 2, 'last_iter': 0, 'finetune_lr': 5e-05, 'scratch_lr': 0.0005, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'gpu': '0,1', 'multi-GPUs': False, 'fp16': False, 'warm_up_epochs': 3, 'seed': 2020}

iter: 48, bce1: 0.7268445, bce2: 0.7131245, bce3: 0.7175635, hinge1: 1.9605965, hinge2: 1.9254405, hinge3: 2.1018965, cla: 2.0165115, lr: 0.0000008
iter: 49, bce1: 0.7274895, bce2: 0.7136455, bce3: 0.7181885, hinge1: 1.9525025, hinge2: 1.9158965, hinge3: 2.0872305, cla: 2.0120575, lr: 0.0000008
iter: 50, bce1: 0.7268435, bce2: 0.7136305, bce3: 0.7176795, hinge1: 1.9593335, hinge2: 1.9260915, hinge3: 2.0851265, cla: 2.0260625, lr: 0.0000008
iter: 51, bce1: 0.7267865, bce2: 0.7135975, bce3: 0.7157585, hinge1: 1.9759885, hinge2: 1.9355135, hinge3: 2.0767285, cla: 2.0202505, lr: 0.0000008
iter: 52, bce1: 0.7264225, bce2: 0.7135855, bce3: 0.7164305, hinge1: 1.9790275, hinge2: 1.9328035, hinge3: 2.0657035, cla: 2.0180545, lr: 0.0000008
iter: 53, bce1: 0.7266815, bce2: 0.7134265, bce3: 0.7162535, hinge1: 1.9897095, hinge2: 1.9451395, hinge3: 2.0699235, cla: 2.0309175, lr: 0.0000008
iter: 54, bce1: 0.7266375, bce2: 0.7126175, bce3: 0.7190325, hinge1: 2.0002525, hinge2: 1.9496845, hinge3: 2.0824775, cla: 2.0152175, lr: 0.0000008
iter: 55, bce1: 0.7265785, bce2: 0.7125945, bce3: 0.7191705, hinge1: 2.0092035, hinge2: 1.9575945, hinge3: 2.0906795, cla: 1.9930735, lr: 0.0000008
iter: 56, bce1: 0.7269135, bce2: 0.7126325, bce3: 0.7191505, hinge1: 2.0089785, hinge2: 1.9537145, hinge3: 2.0990505, cla: 1.9904835, lr: 0.0000008
iter: 57, bce1: 0.7266485, bce2: 0.7126845, bce3: 0.7196865, hinge1: 2.0168215, hinge2: 1.9645395, hinge3: 2.1081005, cla: 2.1048005, lr: 0.0000008
iter: 58, bce1: 0.7267575, bce2: 0.7126285, bce3: 0.7201515, hinge1: 2.0150305, hinge2: 1.9623215, hinge3: 2.1137565, cla: 2.1296485, lr: 0.0000008
iter: 59, bce1: 0.7274915, bce2: 0.7126555, bce3: 0.7207295, hinge1: 2.0135345, hinge2: 1.9557525, hinge3: 2.1097965, cla: 2.1230485, lr: 0.0000008
iter: 60, bce1: 0.7290175, bce2: 0.7135215, bce3: 0.7195575, hinge1: 2.0040385, hinge2: 1.9459885, hinge3: 2.1040515, cla: 2.1175775, lr: 0.0000008
iter: 61, bce1: 0.7288655, bce2: 0.7134305, bce3: 0.7195505, hinge1: 2.0062735, hinge2: 1.9527845, hinge3: 2.1045255, cla: 2.2411385, lr: 0.0000008
iter: 62, bce1: 0.7284625, bce2: 0.7134125, bce3: 0.7193215, hinge1: 2.0144785, hinge2: 1.9618075, hinge3: 2.1071585, cla: 2.2261565, lr: 0.0000008
iter: 63, bce1: 0.7282895, bce2: 0.7130285, bce3: 0.7195865, hinge1: 2.0137425, hinge2: 1.9595265, hinge3: 2.1099735, cla: 2.2021975, lr: 0.0000008
