{'max_epoch': 12, 'train_batch_size': 2, 'last_iter': 0, 'finetune_lr': 5e-05, 'scratch_lr': 0.0005, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'gpu': '0,1', 'multi-GPUs': False, 'fp16': True, 'warm_up_epochs': 3, 'seed': 2020}

iter: 58, bce1: 0.7277865, bce2: 0.7238225, bce3: 0.7164255, hinge1: 1.9827465, hinge2: 1.9749635, hinge3: 2.0913545, cla: 2.0124295, lr: 0.0000008
iter: 59, bce1: 0.7300065, bce2: 0.7241225, bce3: 0.7152905, hinge1: 1.9761455, hinge2: 1.9647245, hinge3: 2.0862705, cla: 2.0002785, lr: 0.0000008
iter: 60, bce1: 0.7292105, bce2: 0.7251865, bce3: 0.7153215, hinge1: 1.9680385, hinge2: 1.9608515, hinge3: 2.0859205, cla: 2.0170035, lr: 0.0000008
iter: 61, bce1: 0.7292245, bce2: 0.7251915, bce3: 0.7152095, hinge1: 1.9672295, hinge2: 1.9591675, hinge3: 2.0894465, cla: 2.0128665, lr: 0.0000008
iter: 62, bce1: 0.7288145, bce2: 0.7249595, bce3: 0.7154385, hinge1: 1.9786965, hinge2: 1.9693365, hinge3: 2.0905915, cla: 2.0123165, lr: 0.0000008
iter: 63, bce1: 0.7282885, bce2: 0.7247895, bce3: 0.7155775, hinge1: 1.9808295, hinge2: 1.9759155, hinge3: 2.0901855, cla: 2.0484185, lr: 0.0000008
iter: 64, bce1: 0.7283535, bce2: 0.7245345, bce3: 0.7155095, hinge1: 1.9866805, hinge2: 1.9801535, hinge3: 2.0846305, cla: 2.0448385, lr: 0.0000008
iter: 65, bce1: 0.7281275, bce2: 0.7243195, bce3: 0.7154215, hinge1: 1.9929365, hinge2: 1.9876975, hinge3: 2.0968695, cla: 2.0295015, lr: 0.0000008
iter: 66, bce1: 0.7278005, bce2: 0.7241965, bce3: 0.7157685, hinge1: 1.9985535, hinge2: 1.9897375, hinge3: 2.0951835, cla: 2.0399475, lr: 0.0000008
iter: 67, bce1: 0.7274195, bce2: 0.7238935, bce3: 0.7156505, hinge1: 2.0035445, hinge2: 1.9953935, hinge3: 2.0941355, cla: 2.0597485, lr: 0.0000008
iter: 68, bce1: 0.7276975, bce2: 0.7243395, bce3: 0.7154865, hinge1: 1.9941205, hinge2: 1.9857645, hinge3: 2.0954805, cla: 2.1122085, lr: 0.0000008
iter: 69, bce1: 0.7285435, bce2: 0.7243475, bce3: 0.7162965, hinge1: 1.9891015, hinge2: 1.9808885, hinge3: 2.0981675, cla: 2.1470155, lr: 0.0000008
iter: 70, bce1: 0.7281665, bce2: 0.7239795, bce3: 0.7160875, hinge1: 1.9907215, hinge2: 1.9806985, hinge3: 2.0925135, cla: 2.1327335, lr: 0.0000008
iter: 71, bce1: 0.7278685, bce2: 0.7239835, bce3: 0.7159975, hinge1: 1.9903805, hinge2: 1.9836175, hinge3: 2.0908365, cla: 2.1248765, lr: 0.0000008
iter: 72, bce1: 0.7272215, bce2: 0.7250445, bce3: 0.7154465, hinge1: 1.9924545, hinge2: 1.9920255, hinge3: 2.0901785, cla: 2.1263985, lr: 0.0000008
iter: 73, bce1: 0.7271385, bce2: 0.7251185, bce3: 0.7156435, hinge1: 1.9908315, hinge2: 1.9928405, hinge3: 2.0948595, cla: 2.1405165, lr: 0.0000008
iter: 74, bce1: 0.7282945, bce2: 0.7260125, bce3: 0.7146475, hinge1: 1.9837245, hinge2: 1.9852765, hinge3: 2.0927345, cla: 2.1348425, lr: 0.0000008
iter: 75, bce1: 0.7288835, bce2: 0.7260555, bce3: 0.7146675, hinge1: 1.9811095, hinge2: 1.9802875, hinge3: 2.0864765, cla: 2.1318005, lr: 0.0000008
iter: 76, bce1: 0.7289665, bce2: 0.7260305, bce3: 0.7150255, hinge1: 1.9799565, hinge2: 1.9786665, hinge3: 2.0916365, cla: 2.1295585, lr: 0.0000008
iter: 77, bce1: 0.7289035, bce2: 0.7257995, bce3: 0.7147805, hinge1: 1.9808775, hinge2: 1.9792235, hinge3: 2.0862665, cla: 2.1121735, lr: 0.0000008
iter: 78, bce1: 0.7288935, bce2: 0.7253845, bce3: 0.7146225, hinge1: 1.9774905, hinge2: 1.9774835, hinge3: 2.0855345, cla: 2.1272455, lr: 0.0000008
iter: 79, bce1: 0.7287035, bce2: 0.7252495, bce3: 0.7151785, hinge1: 1.9766805, hinge2: 1.9765245, hinge3: 2.0841995, cla: 2.1315575, lr: 0.0000008
iter: 80, bce1: 0.7283515, bce2: 0.7251715, bce3: 0.7151205, hinge1: 1.9770475, hinge2: 1.9812995, hinge3: 2.0890235, cla: 2.1265035, lr: 0.0000008
iter: 81, bce1: 0.7281275, bce2: 0.7249155, bce3: 0.7150635, hinge1: 1.9764455, hinge2: 1.9797145, hinge3: 2.0915095, cla: 2.1291695, lr: 0.0000008
iter: 82, bce1: 0.7294705, bce2: 0.7249455, bce3: 0.7144675, hinge1: 1.9739235, hinge2: 1.9746115, hinge3: 2.0888565, cla: 2.1339095, lr: 0.0000008
iter: 83, bce1: 0.7297075, bce2: 0.7247845, bce3: 0.7144355, hinge1: 1.9778705, hinge2: 1.9756205, hinge3: 2.0929515, cla: 2.1446615, lr: 0.0000008
iter: 84, bce1: 0.7299385, bce2: 0.7250335, bce3: 0.7138745, hinge1: 1.9827575, hinge2: 1.9768985, hinge3: 2.0908975, cla: 2.1438605, lr: 0.0000008
iter: 85, bce1: 0.7300775, bce2: 0.7246775, bce3: 0.7126705, hinge1: 1.9840075, hinge2: 1.9792715, hinge3: 2.0858365, cla: 2.1312855, lr: 0.0000008
iter: 86, bce1: 0.7299775, bce2: 0.7240355, bce3: 0.7126185, hinge1: 1.9861765, hinge2: 1.9797395, hinge3: 2.0902725, cla: 2.1133865, lr: 0.0000008
iter: 87, bce1: 0.7302435, bce2: 0.7240965, bce3: 0.7127145, hinge1: 1.9859065, hinge2: 1.9811585, hinge3: 2.0943975, cla: 2.1090015, lr: 0.0000008
iter: 88, bce1: 0.7297475, bce2: 0.7242065, bce3: 0.7127835, hinge1: 1.9842495, hinge2: 1.9817595, hinge3: 2.0983055, cla: 2.1080345, lr: 0.0000008
iter: 89, bce1: 0.7300925, bce2: 0.7241565, bce3: 0.7129335, hinge1: 1.9903435, hinge2: 1.9871135, hinge3: 2.1010885, cla: 2.0952595, lr: 0.0000008
iter: 90, bce1: 0.7301785, bce2: 0.7232235, bce3: 0.7125095, hinge1: 1.9893045, hinge2: 1.9839255, hinge3: 2.1006075, cla: 2.1014295, lr: 0.0000008
iter: 91, bce1: 0.7302045, bce2: 0.7229105, bce3: 0.7125415, hinge1: 1.9885535, hinge2: 1.9818535, hinge3: 2.0924675, cla: 2.0990265, lr: 0.0000008
iter: 92, bce1: 0.7303735, bce2: 0.7228845, bce3: 0.7122795, hinge1: 1.9893475, hinge2: 1.9812995, hinge3: 2.0844205, cla: 2.0983725, lr: 0.0000008
iter: 93, bce1: 0.7303345, bce2: 0.7229075, bce3: 0.7121965, hinge1: 1.9948885, hinge2: 1.9869845, hinge3: 2.0931405, cla: 2.0870205, lr: 0.0000008
iter: 94, bce1: 0.7303055, bce2: 0.7235225, bce3: 0.7121795, hinge1: 1.9916125, hinge2: 1.9840845, hinge3: 2.0996575, cla: 2.0908945, lr: 0.0000008
iter: 95, bce1: 0.7304575, bce2: 0.7230635, bce3: 0.7122385, hinge1: 1.9867125, hinge2: 1.9776525, hinge3: 2.0998465, cla: 2.0820705, lr: 0.0000008
iter: 96, bce1: 0.7299175, bce2: 0.7231295, bce3: 0.7117425, hinge1: 1.9812755, hinge2: 1.9712005, hinge3: 2.0936005, cla: 2.1000665, lr: 0.0000008
iter: 97, bce1: 0.7299255, bce2: 0.7230975, bce3: 0.7117605, hinge1: 1.9802545, hinge2: 1.9667325, hinge3: 2.0941075, cla: 2.0990135, lr: 0.0000008
iter: 98, bce1: 0.7300845, bce2: 0.7238125, bce3: 0.7123365, hinge1: 1.9805725, hinge2: 1.9687465, hinge3: 2.0965865, cla: 2.0892195, lr: 0.0000008
iter: 99, bce1: 0.7303755, bce2: 0.7247415, bce3: 0.7127225, hinge1: 1.9788355, hinge2: 1.9674235, hinge3: 2.0924095, cla: 2.0801605, lr: 0.0000008
iter: 100, bce1: 0.7303035, bce2: 0.7246425, bce3: 0.7123915, hinge1: 1.9812945, hinge2: 1.9685005, hinge3: 2.0910245, cla: 2.0659525, lr: 0.0000008
iter: 101, bce1: 0.7300645, bce2: 0.7242495, bce3: 0.7121835, hinge1: 1.9806435, hinge2: 1.9684825, hinge3: 2.0879395, cla: 2.0529315, lr: 0.0000008
iter: 102, bce1: 0.7299765, bce2: 0.7239855, bce3: 0.7123405, hinge1: 1.9804485, hinge2: 1.9677985, hinge3: 2.0930805, cla: 2.0475365, lr: 0.0000008
iter: 103, bce1: 0.7299565, bce2: 0.7241595, bce3: 0.7126405, hinge1: 1.9803825, hinge2: 1.9676435, hinge3: 2.0965655, cla: 2.0409165, lr: 0.0000008
iter: 104, bce1: 0.7299905, bce2: 0.7243055, bce3: 0.7128425, hinge1: 1.9787735, hinge2: 1.9668955, hinge3: 2.1017755, cla: 2.0322525, lr: 0.0000008
iter: 105, bce1: 0.7298485, bce2: 0.7243095, bce3: 0.7126395, hinge1: 1.9868135, hinge2: 1.9762405, hinge3: 2.0987725, cla: 2.0240705, lr: 0.0000008
iter: 106, bce1: 0.7301025, bce2: 0.7243925, bce3: 0.7127445, hinge1: 1.9860005, hinge2: 1.9801745, hinge3: 2.0984705, cla: 2.0225935, lr: 0.0000008
iter: 107, bce1: 0.7297765, bce2: 0.7243525, bce3: 0.7128335, hinge1: 1.9851945, hinge2: 1.9778245, hinge3: 2.0947625, cla: 2.0222705, lr: 0.0000008
iter: 108, bce1: 0.7297915, bce2: 0.7242445, bce3: 0.7124085, hinge1: 1.9889555, hinge2: 1.9814585, hinge3: 2.0891465, cla: 2.0263515, lr: 0.0000008
iter: 109, bce1: 0.7293575, bce2: 0.7242535, bce3: 0.7122425, hinge1: 1.9881685, hinge2: 1.9834885, hinge3: 2.0881605, cla: 2.0731055, lr: 0.0000008
iter: 110, bce1: 0.7290085, bce2: 0.7236815, bce3: 0.7122685, hinge1: 1.9859725, hinge2: 1.9813795, hinge3: 2.0893275, cla: 2.0708145, lr: 0.0000008
